fips,county,,RUC,total_poverty,minor_poverty,year
37000,North Carolina,,,12.8,17.5,2023
37001,Alamance,,3,12.5,16,2023
37002,Alexander,,2,12.4,17.4,2023
37003,Alleghany,,9,16.3,24.5,2023
37004,Anson,,1,24.1,33,2023
37005,Ashe,,9,15.3,22,2023
37006,Avery,,9,15.9,22.1,2023
37007,Beaufort,,6,19.3,30.5,2023
37008,Bertie,,9,24.3,33.5,2023
37009,Bladen,,8,19.3,29.1,2023
37010,Brunswick,,2,10.3,16.8,2023
37011,Buncombe,,2,12.9,16.4,2023
37012,Burke,,2,15.9,24.4,2023
37013,Cabarrus,,1,9.1,12.4,2023
37014,Caldwell,,2,13.6,18.1,2023
37015,Camden,,1,8,8.5,2023
37016,Carteret,,4,10.6,14.4,2023
37017,Caswell,,8,16.5,23.3,2023
37018,Catawba,,2,11.9,15.6,2023
37019,Chatham,,2,8.4,11.7,2023
37020,Cherokee,,9,14.6,24.5,2023
37021,Chowan,,8,15.1,24.6,2023
37022,Clay,,9,12.1,22.2,2023
37023,Cleveland,,4,17.2,26,2023
37024,Columbus,,6,20.1,30.2,2023
37025,Craven,,4,15.5,25.1,2023
37026,Cumberland,,2,15.3,22,2023
37027,Currituck,,1,7.8,10.5,2023
37028,Dare,,4,8.9,13.3,2023
37029,Davidson,,2,14,21.2,2023
37030,Davie,,2,9.7,13.9,2023
37031,Duplin,,8,19.8,26.8,2023
37032,Durham,,2,10.6,15.1,2023
37033,Edgecombe,,3,22.6,39,2023
37034,Forsyth,,2,14.8,23.2,2023
37035,Franklin,,1,11.3,15,2023
37036,Gaston,,1,13.5,18.5,2023
37037,Gates,,1,14,19.5,2023
37038,Graham,,9,16.9,23.3,2023
37039,Granville,,6,11.4,15.8,2023
37040,Greene,,8,22,29.7,2023
37041,Guilford,,2,14.8,20.6,2023
37042,Halifax,,4,25.5,41.6,2023
37043,Harnett,,4,13.7,18.3,2023
37044,Haywood,,4,11,17.3,2023
37045,Henderson,,2,10.6,15.5,2023
37046,Hertford,,8,22.7,32,2023
37047,Hoke,,2,18.5,24.3,2023
37048,Hyde,,9,23.3,31.2,2023
37049,Iredell,,1,9.2,11.9,2023
37050,Jackson,,7,17,21.3,2023
37051,Johnston,,1,10.8,14.1,2023
37052,Jones,,8,19.1,30.3,2023
37053,Lee,,4,14.7,22.9,2023
37054,Lenoir,,4,23.1,32,2023
37055,Lincoln,,1,10.7,13.2,2023
37056,McDowell,,6,15.1,20.1,2023
37057,Macon,,7,13.5,20.5,2023
37058,Madison,,2,13.8,20,2023
37059,Martin,,6,19.7,30.8,2023
37060,Mecklenburg,,1,10.2,14.2,2023
37061,Mitchell,,8,14.8,19.8,2023
37062,Montgomery,,8,15.6,21.2,2023
37063,Moore,,3,10.5,12.6,2023
37064,Nash,,3,14.4,21.3,2023
37065,New Hanover,,2,12.1,15.5,2023
37066,Northampton,,9,20.7,31.8,2023
37067,Onslow,,3,12.4,16.2,2023
37068,Orange,,2,11.7,8.2,2023
37069,Pamlico,,9,15,25.4,2023
37070,Pasquotank,,4,15.5,23.2,2023
37071,Pender,,2,11.4,14.4,2023
37072,Perquimans,,8,15.1,24.8,2023
37073,Person,,2,14.3,19.2,2023
37074,Pitt,,3,19.4,23.2,2023
37075,Polk,,8,12.8,19.8,2023
37076,Randolph,,2,15.5,20.6,2023
37077,Richmond,,4,22.6,31,2023
37078,Robeson,,4,27.7,37.9,2023
37079,Rockingham,,2,13.6,18.6,2023
37080,Rowan,,1,14.6,20.7,2023
37081,Rutherford,,4,15.2,20.3,2023
37082,Sampson,,6,18.5,26,2023
37083,Scotland,,6,28.6,42.9,2023
37084,Stanly,,6,11,14.5,2023
37085,Stokes,,2,10.5,15.2,2023
37086,Surry,,6,13.9,16.3,2023
37087,Swain,,9,15.6,23.3,2023
37088,Transylvania,,6,12.5,18.4,2023
37089,Tyrrell,,9,21.4,29.9,2023
37090,Union,,1,8.4,10.2,2023
37091,Vance,,6,23.2,36.7,2023
37092,Wake,,1,7.2,8.2,2023
37093,Warren,,8,20.3,30.6,2023
37094,Washington,,9,22.6,35.8,2023
37095,Watauga,,5,18.6,12.3,2023
37096,Wayne,,3,17.1,22.2,2023
37097,Wilkes,,6,16.3,20.7,2023
37098,Wilson,,4,18.8,27,2023
37099,Yadkin,,2,12.9,17.8,2023
37100,Yancey,,8,15.9,22,2023
